3370,河北工艺美术职业学院,1
3371,渤海理工职业学院,4
3372,山西大学,19
3373,太原科技大学,14
3374,中北大学,23
3375,太原理工大学,24
3376,山西农业大学,4
3377,山西医科大学,10
3378,长治医学院,1
3379,山西师范大学,6
3380,太原师范学院,4
3381,山西大同大学,13
3382,晋中学院,4
3383,长治学院,4
3384,运城学院,3
3385,忻州师范学院,9
3386,山西财经大学,10
3387,山西中医学院,3
3388,吕梁学院,2
3389,太原学院,3
3390,山西应用科技学院,1
3391,山西大学商务学院,0
3392,太原理工大学现代科技学院,0
3393,山西农业大学信息学院,2
3394,山西师范大学现代文理学院,0
3395,中北大学信息商务学院,2
3396,太原科技大学华科学院,0
3397,山西医科大学晋祠学院,0
3398,山西财经大学华商学院,4
3399,山西工商学院,2
3400,太原工业学院,4
3401,山西传媒学院,3
3402,山西工程技术学院,8
3403,山西省财政税务专科学校,0
3404,山西警察学院,1
3405,长治职业技术学院,0
3406,山西艺术职业学院,0
3407,晋城职业技术学院,0
3408,山西建筑职业技术学院,0
3409,山西药科职业学院,2
3410,山西工程职业技术学院,0
3411,山西交通职业技术学院,6
3412,大同煤炭职业技术学院,1
3413,山西机电职业技术学院,1
3414,山西戏剧职业学院,0
3415,山西财贸职业技术学院,1
3416,山西林业职业技术学院,0
3417,山西水利职业技术学院,1
3418,阳泉职业技术学院,0
3419,临汾职业技术学院,1
3420,山西职业技术学院,4
3421,山西煤炭职业技术学院,6
3422,山西金融职业学院,1
3423,太原城市职业技术学院,1
3424,山西信息职业技术学院,0
3425,山西体育职业学院,2
3426,山西警官职业学院,4
3427,山西国际商务职业学院,2
3428,潞安职业技术学院,0
3429,太原旅游职业学院,4
3430,山西旅游职业学院,6
3431,山西管理职业学院,1
3432,山西电力职业技术学院,0
3433,忻州职业技术学院,2
3434,山西同文职业技术学院,2
3435,晋中职业技术学院,1
3436,山西华澳商贸职业学院,12
3437,山西运城农业职业技术学院,1
3438,运城幼儿师范高等专科学校,0
3439,山西老区职业技术学院,0
3440,山西经济管理干部学院,1
3441,朔州职业技术学院,0
3442,运城职业技术学院,0
3443,山西轻工职业技术学院,0
3444,晋中师范高等专科学校,3
3445,阳泉师范高等专科学校,1
